,hash,ids,type
110,1989d6013a31d770044d2aa15d4939a91ed445ce594fec9665abb66c724e0ca2,"transfer(address _to, uint256 _amount) returns (bool success) ",type-3-1
111,8e3425bbd4aea5d4649f10d0deda280cc14135a56bed146530ff349246683fdc,"transferFrom(address _from, address _to, uint256 _amount) returns (bool success) ",type-3-1
112,b48db247bcc829a8ea6e63fd49d7b8c60f396142aa53929629408e7dbd10f518,createTokens() saleIsOn payable ,type-3-1
113,fa836838ec98d8f0ce6052545c24808462bcb8c126359cb0e745caf75eb3b4c3,"investInternal(address receiver, uint128 customerId) stopInEmergency private ",type-3-1
114,9f271db3a98f3f5e0e808329b449f642570801a7a7c811cc44ec961c8c86e613,invest() public payable ,type-3-1
115,d2b326236f573a97e30a0bb7da22f1f00e1beed142bb69db34b56015803dfa0c,getState() public returns(State) ,type-3-1
116,da1f50240e723623d8251fae84a861c7547c07ac3d03985228da5e7c3abce72a,"transferFrom(address from, address to, uint256 value)
        public
        returns (bool)
    ",type-3-1
117,7bc57f455ac52647e6aec757c92dbf2732c55996e1e4c7ee3b2d6afd1d3d9624,"decreaseApproval(address _spender, uint _subtractedValue)
        public
        returns (bool) 
    ",type-3-1
118,ba4f29eb571f9f93ceab5266da9ccc48b8f8b657b869c47f21cacd5c2d5e1809,"preallocate(address receiver, uint fullTokens, uint weiPrice) public onlyOwner ",type-3-1
119,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-3-1
120,bedbe206522037659311713fb8f891c4c801af6fd4fd05c60356074b589d17ed,purchase() whenNotPaused() public payable ,type-3-1
121,7831f4c9d1c1690fa08bf7fdcca9c51870831f82b924852727f1c2a5c889edaf,"transfer(address _to, uint _value, bytes _data) public returns (bool) ",type-3-1
122,f3556af855a1d4b685a6464120f1baa46d69a8b5f7d2d05f8fb70c1ac3accf98,init() public onlyOwner ,type-3-1
123,1abd3509ba2e901539d72c3b3bedd18719cbe5c77338eb5b93a0ff27a1f064ee,"createPromoPerson(address _owner, string _name, uint256 _price) public onlyCeo ",type-3-1
124,e70f336dea86f00db8f7e4bd77fa7b4ea9d9e4e116aafca94a2ae24f1889da88,"finish()
  ",type-3-1
125,fa59b258d5865e3eb9389d87ca0d67e46be0d3911b2200e4c6d647f3484a6ea8,() payable public ,type-3-1
126,e50baeb2975f8b4f5087ed29b84db630294c34b1e91e98ccf63be7d218691f1c,"MiniMeToken(
        address _tokenFactory,
        address _parentToken,
        uint _parentSnapShotBlock,
        string _tokenName,
        uint8 _decimalUnits,
        string _tokenSymbol,
        bool _transfersEnabled
    ) public ",type-3-1
127,3d1bfbeb8a57067930ec43e899efefc0a24eb5ab34f02efc97c49d420ddbf238,"doTransfer(address _from, address _to, uint _amount
    ) internal returns(bool) ",type-3-1
128,2a9321f34dc24519af56e14a07b3d2dc62ea26c0b36f594ba71f2d2e06893241,totalSupplyAt(uint _blockNumber) public constant returns(uint) ,type-3-1
129,64fe5bfd57a9c817cfb527822f6a0e7bccb677032fbd7a07c39b5cc226ae50fe,"generateTokens(address _owner, uint _amount
    ) public onlyController returns (bool) ",type-3-1
130,5c1f7a91cc14ebe58f57251fde610776826b5a23162e8975a0484ce707068e00,"destroyTokens(address _owner, uint _amount
    ) onlyController public returns (bool) ",type-3-1
131,15c88a26fa5e4203a3d23d2168a2e93d6b534227d94080500b67488f498aa6fc,claimTokens(address _token) public onlyController ,type-3-1
132,f4f321c47807d0b242bbe302e6c4d1d0ab50dba5986252e92692aa300c6704e2,"initialize (
    address _kyc,
    address _token,
    address _vault,
    address _presale,
    address _bountyAddress,
    address _partnersAddress,
    address _ATCReserveLocker,
    address _teamLocker,
    address _tokenController,
    uint256 _maxEtherCap,
    uint256 _minEtherCap,
    uint256 _baseRate,
    uint256[] _additionalBonusAmounts
    ) onlyOwner ",type-3-1
133,bef70b5b4c68fbe632111f0a37bef63c430a8cd2f51714799c6ec2193fe7c7a0,"buy(address beneficiary)
    public
    payable
    whenNotPaused
  ",type-3-1
134,e7d9f05f1091d86e19577f5ff0093cc1b76647473926085a81a3dd5db97da622,release() public ,type-3-1
135,456518ad7b78e21ff595af9a508d796f98d4f341004727ea19cafd7be707fb2d,"transferTokens(address _from, address _to, uint256 _value) internal ",type-3-1
136,5583ffb63785b04dd1e627ae70cb281849c25fdc1b2afab724924a6b44cad972,buy() internal ,type-3-1
137,5af082b6a60adaa0a8da3fa40092970a2486f1b27b274cc8b922cb00ffa0394c,EndLottery() public returns (bool success) ,type-3-1
138,f2d9971653d43a360e783c0eaeb6b835a930ec323f21d5cd5aa30994c011fac2,() public payable ,type-3-1
139,4bd7231f17f59266a88b97b160e1712cbc0dca4b29d06d17d16048b32ab1f5db,() payable beforeDeadline ,type-3-1
140,d2e5e048ad0e87b287de0883573206580d00d1847a0456dd35858bbb3a58eb7b,finishMinting() public onlyOwner ,type-3-1
141,f34a0e8d98bf46d3ae6d5b3283634b2553cfa37562561b43be91c4aefaf70002,"__stringToUint(
    string s
  )
  internal
  pure
  returns (uint result)
  ",type-3-1
142,0ee2a21eba35502eb86ef01f5aeeffe5185bee86b766da37fa9875e78e3a478c,"EtheremonToken(address _inGameRewardAddress, address _userGrowPoolAddress, address _developerAddress, address _paymentContract) public ",type-3-1
143,46cc7da9245350cd63fa826fdc1bcb6e956f2990097bca421ded59fc26fd6af4,"transfer(address _to, uint256 _amount) fundSendablePhase onlyPayloadSize(2) returns (bool) ",type-3-1
144,f2d9971653d43a360e783c0eaeb6b835a930ec323f21d5cd5aa30994c011fac2,() public payable ,type-3-1
145,9c301a0a2560eb331333c17b12496f56e6d4c335caf6819656f9ac8075c3b5d3,"Crowdsale(uint256 _startBlock, uint256 _endBlock, uint256 _rate, address _wallet) ",type-3-1
146,ae4c73782ce407345ff4ae83202b9472787f6d7962916c992ba11bcb2dc6d64e,determineBonus(uint tokens) internal view returns (uint256 bonus) ,type-3-1
147,9e27383d2529a5c2102ee8606ba750fc9815791b9ce957d2541185d2d5bb8d7f,buyTokens(address beneficiary) public payable ,type-3-1
148,6a9dbd00f44adc273a2cb8def31e04c801f31b3eaf18646882af13553f3d7400,"withdrawTokensForEtheeraTeam(uint256 whoseTokensToWithdraw,address[] whereToSendTokens) public ",type-3-1
149,024948f948cceec3fc70237e7d1ad1cd61d3b9367b6a618d81ec93c7e4a1591f,"transfer(address _to, uint _value, bytes _data)public returns(bool)
	",type-3-1
150,67183e657928faf0a419e0f29663410f6a991d884b2cd44bd0863c323423c687,findCurrentRate() constant private returns (uint256 _discountedRate) ,type-3-1
151,b5b077e526b4ec16c5549b0350cd002249888a4806b47af406234db0e8afe4ed,"tradeBalances(address tokenGet, uint amountGet, address tokenGive, uint amountGive, address user, uint amount) private ",type-3-1
