,hash,ids,type
84,e2183f5caad56090a7495bfc6c28fa43fbeb34b2eb17fd3fd1b4eeb949ece227,"getZodiac(uint256 _id)
        external
        view
        returns (
        bool isGestating,
        bool isReady,
        uint256 cooldownIndex,
        uint256 nextActionAt,
        uint256 siringWithId,
        uint256 birthTime,
        uint256 matronId,
        uint256 sireId,
        uint256 generation,
        uint256 genes
    ) ",type-2c
85,008809a0c6aa4c66cb8932357ce5d1b1327eb334ccec3c40fe797ac510c4be61,"sellPrice()
        public
        view
        returns(uint256)
    ",type-2c
86,9b5e3c63f8a4752d928bb378ec41b65fb5599ab6ae15cbd4f010c5d14901226a,"buyPrice()
        public
        view
        returns(uint256)
    ",type-2c
87,b21432319ae5c7c7a2babcd9bb90d4c70f8dabf22c707b7cdb860bb739c37057,ownerBurnToken(uint _value) onlyOwner ,type-2c
88,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-2c
89,b9884c07512da900097939533a4068cc67d28a6a2dd489b52d7ee1f7590151ed,"richtestff(
        uint256 initialSupply,
        string tokenName,
        uint8 decimalUnits,
        string tokenSymbol
        ) public ",type-2c
90,a21cf17d68ba50011daeddc5a93ec507882d597d2c9bfd3ce88f40b349ec50ed,"isConfirmed(uint transactionId)
    constant
    public
    returns (bool)
  ",type-2c
91,df25a722e03cafb521a99153e45e415de561edc7281e002918dbf62b8828d947,"getConfirmations(uint transactionId)
    constant
    public
    returns (address[] _confirmations)
  ",type-2c
92,b1f310d8d4350cebc60606a8bfa26b38c0d997e45b3ac7c15bbe1e572fa859d2,"getTransactionIds(uint from, uint to, bool pending, bool executed)
    constant
    public
    returns (uint[] _transactionIds)
  ",type-2c
93,3a5a9ad78b72d40cfe76c1c5c46ef71aa028da9e1d8f08aa8114976419ff7d26,"init(ChronoBankPlatform _chronoBankPlatform, string _symbol, string _name) returns(bool) ",type-2c
94,6993dc6fa0383bd66f25d16ee890046d79169e95d10ad21b4f09aa9917cc5b93,"strCompare(string _a, string _b) internal pure returns (int) ",type-2c
95,c9681c50b7cf32d44b5c667459d62cb5c0144428c961e43b7caa7970a1555df2,"parseInt(string _a, uint _b) internal pure returns (uint) ",type-2c
96,c5d7fc34f2b0d491a1708afb56d3100afd6a3bee4bac5d29f54fccfc06fd959a,"startAuction()
    onlyAfter(freePeriodEndTime)
    onlyInState(State.IcoFinished) ",type-2c
97,a01b0b3e87588df87b13400f2f16e746e6f051268dd3d3fc85deafb3c0a1fc48,"bidInAuction() payable
    onlyInState(State.AuctionStarted)
    onlyBefore(auctionEndTime) ",type-2c
98,fa836838ec98d8f0ce6052545c24808462bcb8c126359cb0e745caf75eb3b4c3,"investInternal(address receiver, uint128 customerId) stopInEmergency private ",type-2c
99,c39183fa4a7bcc8712b24eee25cad47c06beb7aa0bcf12ee34beb1c25f56b5b0,"safeWithdrawal() afterDeadline 
    ",type-2c
100,e169cb6ba69debec38ad95f35f169a89623d6c3596fc5e043d9cac875b38f36f,"balanceOf(address _owner)
        public
        view 
        returns (uint256 balance)
    ",type-2c
101,337c19cdbb776207cda81cfa3569ce6206fd44fad76081bf2187714ec162d23b,sellEggs() public,type-2c
102,b9f987b3dd09377000e287ecbd101337763e4c2c9165ee0f9efd6029998553f4,"transferFrom(address _from, address _to, uint256 _value) public returns (bool success) ",type-2c
103,d0f78c4c3da5a1c4cc871f6dbbfebab2d19c5661648089370211a003e83a8ccb,"approve(address _spender, uint256 _amount) returns (bool success) ",type-2c
104,aebbfe70e8b13228172cdace6b8391aaf0cc4e946bae6993467d7c1a49047129,claimTokens(address _token) onlyController ,type-2c
105,5828c149f385ef85b0cef75863b4e7482c39bc5755e28cac92ced0c3dee3c7f6,setupEventsHistory(address _eventsHistory) returns(uint errorCode) ,type-2c
106,99fcef4ba89a1d821d64a754a39266d5bc46954f401590f9159b47c1e7e142d0,"transfer(address _to, uint256 _value) onlyPayloadSize(2 * 32) public returns (bool) ",type-2c
107,ea6c126edaec0b19de0a8804c8b8c63b25173f2704062976d59bb60c0845ea4c,ownerBurnToken(uint _value) onlyOwner public ,type-2c
108,d475bfed791f690d2b0d7389484ff81121cbd21015055acad1d13d5302eeb237,"batchTransfer(address[] _recipients, uint[] _values) onlyOwner public returns (bool) ",type-2c
109,de603294fcea2f9178fd1a674b7ccd57e33b2c7eeb818e4a39dc40381da692bf,getCurrentRateByTokenSold() internal view returns (uint256) ,type-2c
110,e15a873d5cc2384734b0ee8f499e03fd8cb4bb2d3f130c7537ba08bee23fdc9e,createTokens() internal ,type-2c
111,7079b9c4b1de1ea5e8de5ee2036d29c898244afdf87905f8d875e5452acfb15d,"createListing(uint256 _tokenId, uint256 _startingPrice, uint256 _payoutPercentage, address _owner) onlyOwner() public ",type-2c
112,32932f653412963db961e7ccbebace26f8517fedede39f1fe4e31c15fc7dfcba,"purchaseCountry(uint256 _tokenId) public 
    payable
    isNotContract(msg.sender)
  ",type-2c
113,5aa791cb72c21926ad6075b1ece0d73eefbccf9016c8c484ddb034215183d30d,"transferCountry(address _from, address _to, uint256 _tokenId) internal ",type-2c
114,7b8061f8c544541cff5a24bcbe53bb478dd3fb0db529e344d19ee9ed8b747dda,updatePayout(address _owner) public ,type-2c
115,45ecd1f2396fe0d1d91bf8108d19bdce66d9016fb6ff0091adee2e5f2c1a5584,"removeToken(address _from, uint256 _tokenId) private ",type-2c
116,9100feb0d9b72681fc73ac1b65ef55d7f766a434894bce2e6fe6b9bb294a91cb,"removeTokenFrom(address _from, uint256 _tokenId) internal ",type-2c
117,09ea1cc20e091611b898c65fd63de7aac69cf7e5a4ad32e739ac5a89c34b495b,"_burn(address _owner, uint256 _tokenId) internal ",type-2c
118,4dbf3eeffea3dcd80934fcba317b6489f0ba6e84e26e4e58ab6137dfd065db7b,getTombByOwner(address _owner) external view returns(uint[]) ,type-2c
119,8a2421d5a2fdd21d98ee3d63a5aaa88eb001b1c75ed557596736bf7b289e27a7,purchase(uint256 _tokenId) public payable ,type-2c
120,687de460166724a7475a2b89e44aeb91219f977783e84fe4fc89909721e3b351,"distr(address _to, uint256 _amount) canDistr private returns (bool) ",type-2c
